"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Late Response","Response Window","Correct Button","Response Time","Inter Time Interval"
"538b7563b6145edb463b63ce","GREEN-00017","2014-06-01T11:48:03-0700","Joaq email","MALE","RIGHT","2014-06-01T11:46:46-0700","Right","0","530","1","431.78099393844604","2000"
"538b7563b6145edb463b63ce","GREEN-00017","2014-06-01T11:48:03-0700","Joaq email","MALE","RIGHT","2014-06-01T11:46:46-0700","Right","0","520","1","465.00200033187866","2000"
"538b7563b6145edb463b63ce","GREEN-00017","2014-06-01T11:48:03-0700","Joaq email","MALE","RIGHT","2014-06-01T11:46:46-0700","Right","0","510","1","494.04001235961914","2000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","500","1","397.4350094795227","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","490","1","389.2880082130432","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","480","1","399.38098192214966","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","460","1","360.46600341796875","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","420","1","372.03603982925415","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","1","340","0","N/A","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","380","1","342.03898906707764","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","1","370","0","N/A","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","410","1","324.0399956703186","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","400","1","359.63600873947144","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","1","390","0","N/A","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","430","1","178.70497703552246","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","420","1","418.82503032684326","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","410","1","382.64000415802","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","1","390","0","N/A","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","430","1","370.51302194595337","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","420","1","414.50101137161255","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","410","1","377.6969909667969","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","390","1","365.4719591140747","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","1","350","0","N/A","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","390","1","361.43600940704346","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","380","1","370.82695960998535","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","1","370","0","N/A","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","410","1","373.89200925827026","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Left","0","400","1","397.38601446151733","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","500","1","364.34298753738403","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","490","1","357.3850393295288","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","480","1","336.5180492401123","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","460","1","352.24300622940063","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","420","1","374.3950128555298","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","1","340","0","N/A","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","380","1","332.0140242576599","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","370","1","260.37895679473877","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","1","360","0","N/A","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","400","1","382.3850154876709","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","390","1","351.60499811172485","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","380","1","378.5250186920166","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","360","1","355.29500246047974","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","1","320","0","N/A","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","360","1","349.47001934051514","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","350","1","173.59495162963867","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","1","340","0","N/A","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","1","380","0","N/A","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","420","1","242.33895540237427","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","410","1","361.0209822654724","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","400","1","397.5750207901001","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","380","1","373.65198135375977","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","1","340","0","N/A","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","1","380","0","N/A","6000"
"53a9f94db6145e07381cb2f2","GREEN-09998","2014-06-24T15:18:51-0700",,"MALE","LEFT","2014-06-24T15:16:23-0700","Right","0","420","1","368.5150146484375","6000"
"53c09f08b6145eb86e1b9b18","GREEN-09994","2014-07-11T19:35:51-0700",,"FEMALE","RIGHT","2014-07-11T19:35:10-0700","Left","0","500","1","346.5310335159302","2000"
