"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Late Response","Response Window","Trial Type","Correct Button","Response Time","Color Pressed","Color Shown"
"538d5d14b6145e863b3b63cb","BLUE-00044","2014-06-02T22:28:52-0700","Joaq email","MALE","RIGHT","2014-06-02T22:27:43-0700","Word Game",,"1","800","INCONGRUENT","0","N/A","N/A","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","800","NEUTRAL","1","797.9369759559631","RED","RED"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","800","INCONGRUENT","0","800","N/A","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","800","CONGRUENT","0","800","N/A","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","840","CONGRUENT","1","760.9850168228149","WHITE","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","790","NEUTRAL","1","760.824978351593","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","780","NEUTRAL","1","676.4959692955017","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","840","INCONGRUENT","0","840","N/A","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","830","CONGRUENT","1","645.6949710845947","WHITE","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","820","CONGRUENT","1","809.6950054168701","RED","RED"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","880","INCONGRUENT","0","880","N/A","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","800","CONGRUENT","0","N/A","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","840","CONGRUENT","0","N/A","N/A","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","760","NEUTRAL","1","757.4519515037537","RED","RED"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","720","NEUTRAL","0","N/A","N/A","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","880","CONGRUENT","1","789.5679473876953","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","870","CONGRUENT","0","N/A","N/A","RED"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","960","INCONGRUENT","0","960","N/A","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","910","CONGRUENT","1","805.0310015678406","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","760","NEUTRAL","1","710.5110287666321","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","900","CONGRUENT","1","760.5560421943665","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","750","NEUTRAL","1","693.8720345497131","RED","RED"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1120","INCONGRUENT","1","725.7319688796997","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1110","INCONGRUENT","1","1011.7489695549011","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","1100","INCONGRUENT","0","N/A","N/A","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","740","NEUTRAL","0","N/A","N/A","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1140","INCONGRUENT","1","943.5989856719971","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","1130","INCONGRUENT","0","N/A","N/A","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","890","CONGRUENT","0","N/A","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","930","CONGRUENT","0","N/A","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1170","INCONGRUENT","0","1170","N/A","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1210","INCONGRUENT","1","883.6759924888611","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","970","CONGRUENT","1","901.3170003890991","RED","RED"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","960","CONGRUENT","1","825.9350061416626","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","950","CONGRUENT","1","827.2950053215027","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1200","INCONGRUENT","1","675.0310063362122","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","930","CONGRUENT","1","842.2489762306213","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","890","CONGRUENT","1","793.2549715042114","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1190","INCONGRUENT","1","824.8879909515381","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","810","CONGRUENT","1","707.8239917755127","WHITE","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","650","CONGRUENT","0","N/A","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1170","INCONGRUENT","1","708.5790038108826","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","780","NEUTRAL","1","591.7049646377563","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","770","NEUTRAL","1","674.3009686470032","RED","RED"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","760","NEUTRAL","0","N/A","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1130","INCONGRUENT","1","640.8699750900269","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","800","NEUTRAL","1","672.4900007247925","WHITE","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","1050","INCONGRUENT","0","N/A","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","790","NEUTRAL","0","N/A","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","830","NEUTRAL","1","822.5120306015015","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1090","INCONGRUENT","1","721.4820384979248","GREEN","GREEN"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1080","INCONGRUENT","1","955.1969766616821","WHITE","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","820","NEUTRAL","0","N/A","RED","RED"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","860","NEUTRAL","1","805.6170344352722","WHITE","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","850","NEUTRAL","1","840.4819965362549","RED","RED"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","690","CONGRUENT","0","N/A","WHITE","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","730","CONGRUENT","0","N/A","WHITE","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","840","NEUTRAL","1","639.7519707679749","WHITE","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"0","1070","INCONGRUENT","1","923.1879711151123","YELLOW","YELLOW"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","1050","INCONGRUENT","0","N/A","N/A","WHITE"
"53dd5472b6145eba5a906ad7","GREEN-00025","2014-08-02T16:13:19-0500",,"FEMALE","LEFT","2014-08-02T16:08:46-0500","Word Game",,"1","820","NEUTRAL","0","N/A","GREEN","GREEN"
