"id","participant_id","timesent_utc","name","gender","handedness","time_gameplayed_utc","details","Position Is Top","Response Window","Correct Button","Response Time"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"0","760","0","125.70899724960327"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"0","840","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"0","840","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"0","840","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"0","840","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"0","840","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"1","840","1","760.1819634437561"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"0","830","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"1","830","0","840.5309915542603"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"1","870","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"0","910","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"0","910","0","N/A"
"53e18996b6145e6e410923a2","BLUE-00051","2014-08-05T21:49:09-0400",,"FEMALE","LEFT","2014-08-05T21:44:45-0400","Impulsive",,"0","910","0","N/A"
